3D,1,0
DOTA,1,0
K歌,0,1
root,1,0
RPG,1,0
Wi-Fi,1,0
三国,1,0
丽人母婴,0,1
乐器,0,1
买房,1,0
买车,1,0
交友,1,0
交通导航,1,0
交通票务,0,1
代驾,1,0
休闲时间,0,1
优化,1,0
传输,1,0
体育格斗,1,0
作业,0,1
修仙,0,1
做饭,0,1
健康,0,1
儿童教育,0,1
儿童益智,0,1
全部游戏,1,0
全部软件,0,1
公交·火车·航班,1,0
其他球类,0,1
其它,1,0
养成,0,1
养车,1,0
减压,1,0
减肥,0,1
分类信息,1,0
切东西,1,0
办公软件,1,0
动作射击,1,0
动作竞技,1,0
动漫,0,1
匿名,1,0
卡牌,1,0
卡通,0,1
即时战斗,1,0
历史,1,0
台球,1,0
听书,0,1
周边游,0,1
商城,0,1
回合制,1,0
团购·优惠券,0,1
图像,0,1
图片分享,0,1
图片美化·滤镜,0,1
在线教育,0,1
在线视频,1,0
在线音乐,0,1
地图·导航,1,0
坦克,1,0
塔防守卫,1,0
壁纸,0,1
外卖,0,1
天气,0,1
婚恋,1,0
字体,0,1
存储·云盘,1,0
安全,1,0
宝石,0,1
宝石消除,0,1
宠物,0,1
家装,1,0
导购,0,1
射击,1,0
彩票,1,0
微博,0,1
德州扑克,1,0
快递,1,0
战争,1,0
战棋,1,0
手工,0,1
手电筒,1,0
扑克棋牌,1,0
打车,1,0
扫码,1,0
找茬,0,1
找阿姨,0,1
投资,0,1
抢滩登陆,1,0
拍视频,0,1
拼图,1,0
按摩,1,0
搜索·下载,1,0
搞笑,1,0
搬家,0,1
摩托,0,1
支付,0,1
攻略,0,1
效率,0,1
效率办公,1,0
教育培训,0,1
数学,1,0
文件管理,1,0
斗地主,1,0
新闻·资讯,1,0
新闻阅读,1,0
方块,0,1
旅游,1,0
旅游出行,0,1
旅行工具·户外,1,0
日历,0,1
日报·杂志,0,1
时钟,1,0
智力开发,0,1
桌游,0,1
桌面·主题,0,1
棋类,1,0
横版,1,0
武侠,1,0
求职·招聘,0,1
泡泡龙,0,1
洗衣,0,1
浏览器,1,0
海淘,0,1
演出,0,1
漫画,1,0
狙击,1,0
理财工具,1,0
生活实用工具,1,0
生活服务,1,0
生鲜配送,0,1
用药·医疗,0,1
电台,1,0
电子书,1,0
电影,0,1
电视·直播,1,0
电话,1,0
电话通讯,1,0
画报,1,0
百科·问答,0,1
益智,0,1
相册·图库,1,0
相机,0,1
真人视频,1,0
短信,1,0
短视频,0,1
社区,0,1
祖玛,0,1
租房·短租,1,0
租车·用车,0,1
笔记,1,0
答题,0,1
策略,1,0
篮球,1,0
系统工具,1,0
纸牌,1,0
经期·孕期,0,1
经营,0,1
经营模拟,0,1
经营策略,0,1
综合旅游服务,0,1
网球,0.0006,0.0006
网络游戏,1,0
美化手机,0,1
美容·美妆,0,1
美甲·美容,0,1
美食·菜谱,0,1
考试·驾考,0,1
聊天,0,1
聊天社交,0,1
育儿社区,0,1
营业厅,1,0
街机,1,0
表情·头像,0,1
视频,1,0
视频播放器,1,0
角色扮演,1,0
解谜,1,0
计算器,1,0
记账,0,1
识字,0,1
词典·翻译,0,1
语言学习·单词,0,1
课程表,0,1
购物,0,1
赛艇,0,1
赛车,1,0
足球,1,0
跑酷,0,1
跑酷竞速,1,0
输入法,1,0
运动·健身,0,1
运动健康,0,1
违章查询,1,0
连连看,1,0
通讯录,1,0
通讯辅助,1,0
邮箱,1,0
酒店·住宿,1,0
金融理财,0,1
铃声,0,1
银行,0,1
锁屏,0,1
闯关,1,0
音乐,0,1
音乐播放器,0,1
音乐节奏,0,1
飞机,1,0
飞行,1,0
餐厅推荐,0,1
魔幻,1,0
麻将,0,1
